Название вакансии,URL,Название компании,Описание
Senior Python Developer,https://perm.hh.ru/vacancy/31987135?query=python,ООО Центробит,"Требования: Развитием и поддержкой e-commerce платформы. Разработкой новой функциональности, сопровождением уже имеющихся клиентов. Разработкой инфраструктурных сервисов. Работа над серьезными проектами...
Опыт: Экспертные навыки разработки на Python. Опыт Python разработки от 2 лет. Знание фреймворка Django обязательно. Опыт работы с Redis, Celery. "
Data Engineering Team Lead (Python / C++),https://perm.hh.ru/vacancy/32030680?query=python, DataFork,"Требования: Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...
Опыт: Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. "
Python Web Developer,https://perm.hh.ru/vacancy/32278829?query=python, Soshace,"Требования: 
Опыт: Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Python Web Developer,https://perm.hh.ru/vacancy/32278830?query=python, Soshace,"Требования: 
Опыт: Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Python Web Developer,https://perm.hh.ru/vacancy/32096105?query=python, Soshace,"Требования: If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects...
Опыт: Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Senior Python Back End Developer,https://perm.hh.ru/vacancy/32274769?query=python,ООО MeekoTeams,"Требования: Working product that we are continuously developing. Backend runs on AWS EC2s, we have CI/CD that deploys...
Опыт: Python veteran , with a good understanding of modern web applications, HTTP and REST APIs . Django REST framework - bonus points for..."
Программист Python (Middle),https://perm.hh.ru/vacancy/32190751?query=python, L3 Technologies,"Требования: 
Опыт: Опыт оптимизации программ на C/C++/Python, замеров метрик производительности; знакомство с инструментарием для этого. Желание разбираться в финансовой индустрии..."
"Python Developer (H1B,USA)",https://perm.hh.ru/vacancy/31482639?query=python, Ariadne Genomics Inc.,"Требования: 
Опыт: 3+ years of recent Python development experience. Experience with Django. 5+ years of software development experience. "
Python Web Developer,https://perm.hh.ru/vacancy/32096106?query=python, Soshace,"Требования: If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects...
Опыт: Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Python Developer,https://perm.hh.ru/vacancy/32072763?query=python, Investex Ltd,"Требования: Проектировать и разрабатывать веб-сервисы на языке Python с использованием Django и/или Flask. Разрабатывать сложные системы взаимодействия с внешними...
Опыт: Опыт проектирования и разработки сложных высоконагруженных систем. Отличные знания Python 3.6, Django/Flask, MySQL. Отличные знания общих вопросов программирования..."
Python-разработчик,https://perm.hh.ru/vacancy/31579701?query=python,ЗАО НОРСИ-ТРАНС,"Требования: Разработка аналитических и диагностических систем (Python).
Опыт: Знание Python. Базовые навыки в администрировании Linux (bash, /etc, ssh, какие-либо демоны (http, sql)). Технический английский. Желание развиваться. "
Программист Python,https://perm.hh.ru/vacancy/32279939?query=python, Pentestit,"Требования: Разрабатывать консольные приложения (без GUI). Поддерживать текущие и разрабатывать новые API (Flask) и WebApp (Django).
Опыт: Уметь писать код на Python 3. Иметь опыт работы с linux, git, postgres. Знать основы верстки: css, html, js."
