Название вакансии,URL,Название компании,Описание
"Python Developer (H1B,USA)",https://perm.hh.ru/vacancy/31482639?query=python, Ariadne Genomics Inc.,"Требования: 
Опыт: 3+ years of recent Python development experience. Experience with Django. 5+ years of software development experience. "
Python Developer,https://perm.hh.ru/vacancy/32072763?query=python, Investex Ltd,"Требования: Проектировать и разрабатывать веб-сервисы на языке Python с использованием Django и/или Flask. Разрабатывать сложные системы взаимодействия с внешними...
Опыт: Опыт проектирования и разработки сложных высоконагруженных систем. Отличные знания Python 3.6, Django/Flask, MySQL. Отличные знания общих вопросов программирования..."
Программист Python (в Ригу),https://perm.hh.ru/vacancy/32079672?query=python, SIA Media Solutions,"Требования: Проектирование, добавление и поддержка уже написанных интеграций. Обеспечение качества кода с использованием unit-тестов, code review, cистем контроля версий и...
Опыт: Хорошее знание Python, PostgreSQL, MongoDB, Redis, JS. Кроме знания бекенда необходимо уверенное понимание фронтендовой части JS (по крайней мере не..."
Программист Python (в Ригу),https://perm.hh.ru/vacancy/32079548?query=python, SIA Media Solutions,"Требования: Проектирование, добавление и поддержка уже написанных интеграций. Обеспечение качества кода с использованием unit-тестов, code review, cистем контроля версий и...
Опыт: Хорошее знание Python, PostgreSQL, MongoDB, Redis, JS. Кроме знания бекенда необходимо уверенное понимание фронтендовой части JS (по крайней мере не..."
Программист Python,https://perm.hh.ru/vacancy/31347220?query=python,ООО Аналитические программные решения,"Требования: Сопровождение текущих компонент сбора данных, доработка по новым требованиям. Разработка инфраструктурных микросервисов, бекэнд разработка. Участие в анализе требований, разработка планов...
Опыт: Хорошее знание Python в части скрейпинга данных. Знание asyncio, aiohttp, mongoDB, postgreSQL, docker, rabbitMQ, redis. Опыт работы с REST API..."
Программист Python,https://perm.hh.ru/vacancy/32260756?query=python,ИП FDS,"Требования: Разработка ПО (скриптов, на базе работающих примеров) на языке Python, обрабатывающих данные веб-сервисов (данные с биржевой информацией).
Опыт: Плюсом будет математическое или физическое образование."
Разработчик Python и SQL,https://perm.hh.ru/vacancy/31929637?query=python,ООО ИнфоНет Мобил,"Требования: Разработка и сопровождение системы математической обработки геоданных с целью трансформации исходных данных в требуемую Заказчику информацию. Участие в развитии методов...
Опыт: Высшее техническое образование. Опыт разработки ПО с использованием Python3 не менее 2 лет. Опыт использования библиотек pandas, geopandas, sqlalchemy. "
Python-разработчик,https://perm.hh.ru/vacancy/32251802?query=python,ООО ГЛОСАВ,"Требования: Разработка ПО обработки видео, интеграция нейромашин.
Опыт: Высшее техническое образование. * Опыт разработки в области машинного обучения. * Уверенное владение Python, Numpy, TensorFlow и др."
Программист Python,https://perm.hh.ru/vacancy/32324531?query=python, Автодеталь НЧ,"Требования: 
Опыт: MySQL."
Разработчик Python,https://perm.hh.ru/vacancy/31624245?query=python,ОАО Оператор систем пенсионного обеспечения и страхования,"Требования: Проектирование и разработка backend - сервисов на языке Python. Написание unit-тестов. - понимание смежных областей разработки ПО (управление, анализ требований, проектирование...
Опыт: Отличные знания Python 3. Владение общими вопросами программирования: шаблоны проектирования, структуры данных, алгоритмы. Опыт использования систем контроля версий. "
